Name,Quadrant,Ring,Link,Moved,Description,Tags,Downloads,Forks,Activity Metric,Languages
Pangeo,Intelligence,Adopt,https://pangeo.io/,0,"Community and ecosystem enabling open, reproducible, scalable geoscience and EO analysis (often using Xarray/Dask/Zarr).","[""Platform"", ""Pangeo"", ""Remote sensing analysis""]",0,0,0,{}
pdal,CORE,Core,https://pdal.io/,0,Point cloud processing and translation library with pipeline-based filters; core for LiDAR and 3D workflows.,"[""Core Library"", ""Remote sensing analysis"", ""3D modeling""]",0,0,0,{}
Planetary Computer,Data,Hold,https://planetarycomputer.microsoft.com/docs/quickstarts/reading-stac/,0,Open-access geospatial data catalogued with STAC and served via STAC API and tiling.,"[""Data Repository""]",0,0,0,{}
OSGeo/PROJ,CORE,Core,https://proj.org/,0,Coordinate reference system and cartographic projections library used across geospatial stacks.,"[""Core Library"", ""Geocoding and georeferencing""]",0,0,0,{}
OSPD WORKFLOWS,Standards,Assess,https://www.ogc.org/initiatives/open-science/,0,"OGC Open Science Persistent Demonstrator effort to standardize description, sharing, and reuse of reproducible Earth science workflows.","[""Techniques"", ""Platform"", ""Data management""]",0,0,0,{}
Raster Vision,Intelligence,Adopt,https://github.com/azavea/raster-vision,0,"Framework for training CV models on satellite/aerial imagery (detection, segmentation).","[""Platform"", ""Remote sensing analysis""]",0,0,0,{}
stac,Standards,Adopt,https://stacspec.org/,0,SpatioTemporal Asset Catalog specification for describing and discovering geospatial/EO assets via interoperable JSON metadata.,"[""Data management"", ""Data Repository""]",0,0,0,{}
STAC GeoParquet,Standards,Trial,https://github.com/stac-utils/stac-geoparquet,0,Tooling and conventions to package STAC Items as GeoParquet for bulk analytics access.,"[""Data management""]",0,0,0,{}
titiler,Visualization,Adopt,https://developmentseed.org/titiler/,0,"FastAPI-based dynamic tile server toolkit for serving EO rasters (COGs, STAC items, mosaics) as map tiles.","[""Server-Side"", ""Web-Tools""]",0,0,0,{}
torchgeo,Intelligence,Adopt,https://torchgeo.readthedocs.io/en/stable/,0,"PyTorch domain library providing geospatial/remote-sensing datasets, samplers, transforms, and pretrained models.","[""Core Library"", ""Remote sensing analysis""]",0,0,0,{}
Virtualizarr,Intelligence,Trial,https://virtualizarr.readthedocs.io/en/latest/,0,"Creates 'virtual' Zarr datasets over archival formats (e.g., netCDF/HDF), enabling cloud-friendly access without copying data.","[""Core Library"", ""Data management"", ""Pangeo""]",0,0,0,{}
Xarray,Intelligence,Adopt,https://docs.xarray.dev/en/stable/,0,Labelled N-dimensional arrays/datasets for gridded EO and climate data cubes and spatiotemporal analysis.,"[""Core Library"", ""Data management"", ""Remote sensing analysis"", ""Pangeo""]",0,0,0,{}
xddgs,Standards,Trial,https://github.com/xarray-contrib/xdggs,0,"Xarray extension for Discrete Global Grid Systems (DGGS), enabling resampling and analytics on global grid indexes.","[""Core Library"", ""Spatial analysis""]",0,0,0,{}
Zarr,Standards,Adopt,https://zarr.dev/,0,"Open specification and ecosystem for chunked N-dimensional arrays, enabling scalable cloud/object-storage workflows.","[""Core Library"", ""Data management"", ""Pangeo""]",0,0,0,{}
